\N|Reservierung berufsbegl. BWL Studiengänge|20192|2019-08-31|2019-09-01|09:00|18:00|- |Blockveranstaltung + Sa und So|4.011
\N|Reservierung berufsbegl. BWL Studiengänge|20192|2019-08-31|2019-08-31|08:00|10:00|Sa|Einzeltermin|4.001
\N|Reservierung Frau Bernhardt|20192|2019-09-02|2019-09-02|08:00|18:00|Mo|wöchentlich|9.345
\N|Reservierung Prof. Dr. Ingo Schütt|20192|2019-09-02|2019-09-02|08:00|13:00|Mo|Einzeltermin|9.129
\N|Reservierung Prof. Dr. Kramer|20192|2019-09-02|2019-09-09|08:00|20:15|Mo|wöchentlich|5.105
\N|Res IEA18 SO ZS|20192|2019-09-02|2019-09-02|09:00|16:30|Mo|Einzeltermin|5.201
\N|Res IEA18 SO ZS|20192|2019-09-02|2019-09-02|09:00|16:30|Mo|Einzeltermin|5.101
\N|Reservierung Dr. Ellendt|20192|2019-09-03|2020-02-25|18:30|21:30|Di|wöchentlich|9.345
\N|Reservierung Dr. Ellendt|20192|2019-09-03|2020-02-25|18:30|21:30|Di|wöchentlich|9.344
\N|Reservierung Frau Bernhardt|20192|2019-09-03|2019-09-03|08:00|18:00|Di|wöchentlich|9.345
\N|Reservierung Prof. Dr. Ingo Schütt|20192|2019-09-03|2019-09-03|08:00|13:00|Di|Einzeltermin|9.129
\N|Reservierung Prof. Dr. Kramer|20192|2019-09-03|2019-09-10|08:00|20:15|Di|wöchentlich|5.105
\N|Res IEA18 SO ZS|20192|2019-09-03|2019-09-03|09:00|16:30|Di|Einzeltermin|5.101
\N|Res IEA18 SO ZS|20192|2019-09-03|2019-09-03|09:00|16:30|Di|Einzeltermin|5.201
\N|Reservierung Frau Bernhardt|20192|2019-09-04|2019-09-04|08:00|18:00|Mi|wöchentlich|9.345
\N|Reservierung Prof. Dr. Günther|20192|2019-09-04|2019-09-04|14:00|17:00|Mi|Einzeltermin|2.206
\N|Reservierung Prof. Dr. Ingo Schütt|20192|2019-09-04|2019-09-04|08:00|13:00|Mi|Einzeltermin|9.129
\N|Reservierung Prof. Dr. Kramer|20192|2019-09-04|2019-09-11|08:00|20:15|Mi|wöchentlich|5.105
\N|Res IEA18 SO ZS|20192|2019-09-04|2019-09-04|09:00|16:30|Mi|Einzeltermin|5.101
\N|Res IEA18 SO ZS|20192|2019-09-04|2019-09-04|09:00|16:30|Mi|Einzeltermin|5.201
\N|Reservierung Frau Bernhardt|20192|2019-09-05|2019-09-05|08:00|18:00|Do|wöchentlich|9.345
\N|Reservierung Orientierungstage|20192|2019-09-05|2019-09-11|08:00|22:00|Do|wöchentlich|9.101
\N|Reservierung Prof. Dr. Ingo Schütt|20192|2019-09-05|2019-09-05|08:00|13:00|Do|Einzeltermin|9.129
\N|Reservierung Prof. Dr. Kramer|20192|2019-09-05|2019-09-12|08:00|20:15|Do|wöchentlich|5.105
\N|Reservierung Prof. Dr. Leich|20192|2019-09-05|2019-09-05|13:00|15:00|Do|Einzeltermin|2.206
\N|Reservierung Sonstige|20192|2019-09-05|2019-09-05|15:00|16:00|Do|Einzeltermin|2.206
\N|Res IEA18 SO ZS|20192|2019-09-05|2019-09-05|09:00|16:30|Do|Einzeltermin|5.101
\N|Res IEA18 SO ZS|20192|2019-09-05|2019-09-05|09:00|16:30|Do|Einzeltermin|5.201
\N|Reservierung Frau Bernhardt|20192|2019-09-06|2019-09-06|08:00|18:00|Fr|wöchentlich|9.345
\N|Reservierung Kulp|20192|2019-09-06|2019-09-06|08:30|14:30|Fr|Einzeltermin|4.110
\N|Reservierung Prof. Dr. Ingo Schütt|20192|2019-09-06|2019-09-06|08:00|13:00|Fr|Einzeltermin|9.129
\N|Reservierung Prof. Dr. Kramer|20192|2019-09-06|2019-09-13|08:00|20:15|Fr|wöchentlich|5.105
\N|Reservierung Sonstige|20192|2019-09-06|2019-09-06|09:00|20:15|Fr|wöchentlich|9.101
\N|Reservierung Sonstige|20192|2019-09-06|2019-09-06|13:00|20:15|Fr|Einzeltermin|2.206
\N|Res IEA18 SO ZS|20192|2019-09-06|2019-09-06|09:00|13:00|Fr|Einzeltermin|5.101
\N|Res IEA18 SO ZS|20192|2019-09-06|2019-09-06|09:00|13:00|Fr|Einzeltermin|5.201
\N|Veranstaltung Dekanat VW|20192|2019-09-06|2019-09-06|19:00|21:00|Fr|Einzeltermin|N113
\N|Veranstaltung Dekanat VW|20192|2019-09-06|2019-09-06|19:00|21:00|Fr|Einzeltermin|N110
\N|Reservierung Berufsbegl. Bachelor W-Ing.|20192|2019-09-07|2019-09-07|10:00|14:00|Sa|Einzeltermin|5.302
\N|Reservierung berufsbegl. BWL Studiengänge|20192|2019-09-07|2019-09-07|08:00|10:00|Sa|Einzeltermin|4.001
\N|Reservierung berufsbegl. BWL Studiengänge|20192|2019-09-07|2019-09-08|10:00|18:00|- |Blockveranstaltung + Sa und So|2.306
\N|Reservierung berufsbegl. BWL Studiengänge|20192|2019-09-07|2019-09-08|10:00|18:00|- |Blockveranstaltung + Sa und So|4.011
\N|Reservierung berufsbegl. BWL Studiengänge|20192|2019-09-07|2019-09-07|09:00|13:00|Sa|Einzeltermin|4.014
\N|Reservierung berufsbegl. BWL Studiengänge|20192|2019-09-07|2019-09-08|10:00|18:00|- |Blockveranstaltung + Sa und So|2.406
\N|Reservierung Sonstige|20192|2019-09-07|2019-09-07|08:00|17:00|Sa|Einzeltermin|2.206
\N|Reservierung Sonstige|20192|2019-09-07|2019-09-07|09:00|16:00|Sa|Einzeltermin|9.101
\N|kowalsky|20192|2019-09-09|2019-09-09|13:00|22:00|Mo|Einzeltermin|4.110
\N|Reservierung Frau Bernhardt|20192|2019-09-09|2019-09-09|08:00|18:00|Mo|wöchentlich|9.345
\N|Reservierung Frau Hellwig|20192|2019-09-09|2019-09-09|08:00|20:00|Mo|Einzeltermin|9.301
\N|Reservierung Frau Piper|20192|2019-09-09|2019-09-09|08:30|11:30|Mo|Einzeltermin|4.015
\N|Reservierung Kowalsky|20192|2019-09-09|2019-09-09|08:00|22:00|Mo|Einzeltermin|4.106
\N|Reservierung Orientierungstage|20192|2019-09-09|2019-09-09|13:00|14:00|Mo|wöchentlich|2.206
\N|Reservierung Prof. Dr. Ingo Schütt|20192|2019-09-09|2019-09-09|08:00|13:00|Mo|Einzeltermin|9.129
\N|GenerationenHochschule|20192|2019-09-10|2019-09-10|15:00|22:00|Di|Einzeltermin|9.129
\N|kowalsky|20192|2019-09-10|2019-09-10|08:00|18:00|Di|Einzeltermin|4.110
\N|Reservierung Frau Bernhardt|20192|2019-09-10|2019-09-10|08:00|18:00|Di|wöchentlich|9.345
\N|Reservierung Frau Hellwig|20192|2019-09-10|2019-09-10|08:00|20:00|Di|Einzeltermin|9.301
\N|Reservierung Kowalsky|20192|2019-09-10|2019-09-10|08:00|22:00|Di|Einzeltermin|4.106
\N|Reservierung Prof. Dr. Heilmann|20192|2019-09-10|2019-09-10|14:00|15:00|Di|Einzeltermin|2.206
\N|Reservierung Prof. Dr. Ingo Schütt|20192|2019-09-10|2019-09-10|08:00|13:00|Di|Einzeltermin|9.129
\N|kowalsky|20192|2019-09-11|2019-09-11|08:00|18:00|Mi|Einzeltermin|4.110
\N|Reservierung AAA|20192|2019-09-11|2019-09-11|14:30|16:00|Mi|Einzeltermin|4.103
\N|Reservierung AAA|20192|2019-09-11|2019-09-11|13:30|15:00|Mi|Einzeltermin|4.104
\N|Reservierung AAA|20192|2019-09-11|2019-09-11|10:00|12:00|Mi|Einzeltermin|4.014
\N|Reservierung Frau Bernhardt|20192|2019-09-11|2019-09-11|12:30|14:00|Mi|wöchentlich|9.345
\N|Reservierung Frau Hellwig|20192|2019-09-11|2019-09-11|08:00|20:00|Mi|Einzeltermin|9.301
\N|Reservierung Orientierungstage|20192|2019-09-11|2019-09-11|14:30|18:00|Mi|wöchentlich|3.101
\N|Reservierung Orientierungstage|20192|2019-09-11|2019-09-11|14:00|14:30|Mi|wöchentlich|HS C
\N|Reservierung Orientierungstage|20192|2019-09-11|2019-09-11|14:30|18:00|Mi|wöchentlich|5.101
\N|Reservierung Orientierungstage|20192|2019-09-11|2019-09-11|14:30|18:00|Mi|wöchentlich|5.305
\N|Reservierung Orientierungstage|20192|2019-09-11|2019-09-11|14:30|18:00|Mi|wöchentlich|5.302
\N|Reservierung Prof. Dr. Ingo Schütt|20192|2019-09-11|2019-09-11|08:00|13:00|Mi|Einzeltermin|HS C
\N|Veranstaltung Dekanat VW|20192|2019-09-11|2019-09-11|08:00|18:00|Mi|Einzeltermin|N110
\N|Veranstaltung Dekanat VW|20192|2019-09-11|2019-09-11|08:00|18:00|Mi|Einzeltermin|N113
\N|Interforum|20192|2019-09-12|2019-09-12|13:00|18:00|Do|Einzeltermin|4.106
\N|kowalsky|20192|2019-09-12|2019-09-12|08:00|18:00|Do|Einzeltermin|4.110
\N|Reservierung AAA|20192|2019-09-12|2019-09-12|12:30|15:00|Do|Einzeltermin|4.209
\N|Reservierung AAA|20192|2019-09-12|2019-09-12|12:30|15:00|Do|Einzeltermin|4.208
\N|Reservierung Frau Hellwig|20192|2019-09-12|2019-09-12|08:00|20:00|Do|Einzeltermin|9.301
\N|Reservierung Orientierungstage|20192|2019-09-12|2019-09-12|14:00|15:00|Do|wöchentlich|HS C
\N|Reservierung Prof. Dr. Groß|20192|2019-09-12|2019-09-12|14:30|16:00|Do|Einzeltermin|2.106
\N|Reservierung Prof. Dr. Ingo Schütt|20192|2019-09-12|2019-09-12|08:00|13:00|Do|Einzeltermin|HS C
\N|Veranstaltung Dekanat VW|20192|2019-09-12|2019-09-12|08:30|14:00|Do|Einzeltermin|N110
\N|Veranstaltung Dekanat VW|20192|2019-09-12|2019-09-12|08:30|14:00|Do|Einzeltermin|D101
\N|Veranstaltung Dekanat VW|20192|2019-09-12|2019-09-12|08:30|14:00|Do|Einzeltermin|N113
\N|kowalsky|20192|2019-09-13|2019-09-13|08:00|18:00|Fr|Einzeltermin|4.110
\N|Reservierung Berufsbegl. Bachelor W-Ing.|20192|2019-09-13|2019-09-15|08:30|18:00|- |Blockveranstaltung + Sa und So|5.102
\N|Reservierung Berufsbegl. Bachelor W-Ing.|20192|2019-09-13|2019-09-15|09:00|18:00|- |Blockveranstaltung + Sa und So|5.302
\N|Reservierung berufsbegl. BWL Studiengänge|20192|2019-09-13|2019-09-15|09:00|10:00|- |Blockveranstaltung + Sa und So|4.015
\N|Reservierung Frau Hellwig|20192|2019-09-13|2019-09-13|08:00|20:00|Fr|Einzeltermin|9.301
\N|Reservierung Kino|20192|2019-09-13|2019-09-13|18:00|23:00|Fr|Einzeltermin|4.102
\N|Reservierung Kino|20192|2019-09-13|2019-09-13|18:00|23:00|Fr|Einzeltermin|4.003
